#OLD_LOCUS,NEW_LOCUS,UPDATE_TYPE,UPDATE_DETAIL
NCU01967.4,NCU01967.5,UNCHANGED,
NCU01968.4,NCU01968.5,UNCHANGED,
NCU01969.4,NCU01969.5,UNCHANGED,
NCU01970.4,NCU01970.5,UNCHANGED,
NCU01971.4,NCU01971.5,UNCHANGED,
NCU01972.4,NCU01972.5,UNCHANGED,
NCU01973.4,NCU01973.5,UNCHANGED,
NCU01974.4,NCU01974.5,UNCHANGED,
NCU01975.4,NCU01975.5,UNCHANGED,
NCU01976.4,NCU01976.5,UNCHANGED,
NCU01978.4,NCU01978.5,UNCHANGED,
NCU01979.4,NCU01979.5,UNCHANGED,
NCU01980.4,NCU01980.5,UNCHANGED,
NCU01981.4,NCU01981.5,UNCHANGED,
NCU01982.4,NCU01982.5,UNCHANGED,
NCU01983.4,NCU01983.5,UNCHANGED,
NCU01984.4,NCU01984.5,UNCHANGED,
NCU01985.4,NCU01985.5,UNCHANGED,
NCU01987.4,NCU01987.5,UNCHANGED,
NCU01988.4,NCU01988.5,UNCHANGED,
NCU01989.4,NCU01989.5,UNCHANGED,
NCU01990.4,NCU01990.5,UNCHANGED,
NCU01991.4,NCU01991.5,UNCHANGED,
NCU01992.4,NCU01992.5,UNCHANGED,
NCU01993.4,NCU01993.5,UNCHANGED,
NCU01994.4,NCU01994.5,UNCHANGED,
NCU01995.4,NCU01995.5,UNCHANGED,
NCU01996.4,NCU01996.5,UNCHANGED,
NCU01997.4,NCU01997.5,UNCHANGED,
NCU01998.4,NCU01998.5,UNCHANGED,
NCU01999.4,NCU01999.5,UNCHANGED,
NCU02000.4,NCU02000.5,UNCHANGED,
NCU02001.4,NCU02001.5,UNCHANGED,
NCU02002.4,NCU02002.5,UNCHANGED,
NCU02003.4,NCU02003.5,UNCHANGED,
NCU02004.4,NCU02004.5,UNCHANGED,
NCU02005.4,NCU02005.5,UNCHANGED,
NCU02006.4,NCU02006.5,UNCHANGED,
NCU02007.4,NCU02007.5,UNCHANGED,
NCU02008.4,NCU02008.5,UNCHANGED,
NCU02009.4,NCU02009.5,UNCHANGED,
NCU02010.4,NCU02010.5,UNCHANGED,
NCU02011.4,NCU02011.5,UNCHANGED,
NCU02012.4,NCU02012.5,UNCHANGED,
NCU02013.4,NCU02013.5,UNCHANGED,
NCU02014.4,NCU02014.5,UNCHANGED,
NCU02015.4,NCU02015.5,UNCHANGED,
NCU02016.4,NCU02016.5,UNCHANGED,
NCU02017.4,NCU02017.5,UNCHANGED,
NCU02018.4,NCU02018.5,UNCHANGED,
NCU02019.4,NCU02019.5,UNCHANGED,
NCU02020.4,NCU02020.5,UNCHANGED,
NCU02021.4,NCU02021.5,UNCHANGED,
NCU02022.4,NCU02022.5,UNCHANGED,
NCU02023.4,NCU02023.5,UNCHANGED,
NCU02024.4,NCU02024.5,UNCHANGED,
NCU02025.4,NCU02025.5,UNCHANGED,
NCU02026.4,NCU02026.5,UNCHANGED,
NCU02027.4,NCU02027.5,UNCHANGED,
NCU02028.4,NCU02028.5,UNCHANGED,
NCU02029.4,NCU02029.5,UNCHANGED,
NCU02030.4,NCU02030.5,UNCHANGED,
NCU02031.4,NCU02031.5,UNCHANGED,
NCU02032.4,NCU02032.5,UNCHANGED,
NCU02033.4,NCU02033.5,UNCHANGED,
NCU02034.4,NCU02035.5,UNCHANGED,
NCU02036.4,NCU02036.5,UNCHANGED,
NCU02037.4,NCU02037.5,UNCHANGED,
NCU02040.4,NCU02040.5,UNCHANGED,
NCU02041.4,NCU02041.5,UNCHANGED,
NCU02042.4,NCU02042.5,UNCHANGED,
NCU02043.4,NCU02043.5,UNCHANGED,
NCU02044.4,NCU02044.5,UNCHANGED,
NCU02046.4,NCU02046.5,UNCHANGED,
NCU02048.4,NCU02048.5,UNCHANGED,
NCU02049.4,NCU02049.5,UNCHANGED,
NCU02051.4,NCU02051.5,UNCHANGED,
NCU02052.4,NCU02052.5,UNCHANGED,
NCU02053.4,NCU02053.5,UNCHANGED,
NCU02054.4,NCU02054.5,UNCHANGED,
NCU02055.4,NCU02055.5,UNCHANGED,
NCU02056.4,NCU02056.5,UNCHANGED,
NCU02057.4,NCU02057.5,UNCHANGED,
NCU02058.4,NCU02058.5,UNCHANGED,
NCU02059.4,NCU02059.5,UNCHANGED,
NCU02060.4,NCU02060.5,UNCHANGED,
NCU02061.4,NCU02061.5,UNCHANGED,
NCU02062.4,NCU02062.5,UNCHANGED,
NCU02063.4,NCU02063.5,UNCHANGED,
NCU02064.4,NCU02064.5,UNCHANGED,
NCU02065.4,NCU02065.5,UNCHANGED,
NCU02066.4,NCU02066.5,UNCHANGED,
NCU02067.4,NCU02067.5,UNCHANGED,
NCU02068.4,NCU02068.5,UNCHANGED,
NCU02070.4,NCU02070.5,UNCHANGED,
NCU02071.4,NCU02071.5,UNCHANGED,
NCU02073.4,NCU02073.5,UNCHANGED,
NCU02074.4,NCU02074.5,UNCHANGED,
NCU02075.4,NCU02075.5,UNCHANGED,
NCU02076.4,NCU02076.5,UNCHANGED,
NCU02077.4,NCU02077.5,UNCHANGED,
NCU02078.4,NCU02078.5,UNCHANGED,
NCU02079.4,NCU02079.5,UNCHANGED,
NCU02080.4,NCU02080.5,UNCHANGED,
NCU02081.4,NCU02081.5,UNCHANGED,
NCU02082.4,NCU02082.5,UNCHANGED,
NCU02083.4,NCU02083.5,UNCHANGED,
NCU02084.4,NCU02084.5,UNCHANGED,
NCU02085.4,NCU02085.5,UNCHANGED,
NCU02086.4,NCU02086.5,UNCHANGED,
NCU02087.4,NCU02087.5,UNCHANGED,
NCU02088.4,NCU02088.5,UNCHANGED,
NCU02089.4,NCU02089.5,UNCHANGED,
NCU02090.4,NCU02090.5,UNCHANGED,
NCU02091.4,NCU02091.5,UNCHANGED,
NCU02092.4,NCU02092.5,UNCHANGED,
NCU02094.4,NCU02094.5,UNCHANGED,
NCU02095.4,NCU02095.5,UNCHANGED,
NCU02096.4,NCU02096.5,UNCHANGED,
NCU02097.4,NCU02097.5,UNCHANGED,
NCU02098.4,NCU02098.5,UNCHANGED,
NCU02099.4,NCU02099.5,UNCHANGED,
NCU02100.4,NCU02100.5,UNCHANGED,
NCU02101.4,NCU02101.5,UNCHANGED,
NCU02103.4,NCU02103.5,UNCHANGED,
NCU02104.4,NCU02104.5,UNCHANGED,
NCU02105.4,NCU02105.5,UNCHANGED,
NCU02106.4,NCU02106.5,UNCHANGED,
NCU02107.4,NCU02107.5,UNCHANGED,
NCU02108.4,NCU02108.5,UNCHANGED,
NCU02109.4,NCU02109.5,UNCHANGED,
NCU02110.4,NCU02110.5,UNCHANGED,
NCU02111.4,NCU02111.5,UNCHANGED,
NCU02112.4,NCU02112.5,UNCHANGED,
NCU02113.4,NCU02113.5,UNCHANGED,
NCU02114.4,NCU02114.5,UNCHANGED,
NCU02115.4,NCU02115.5,UNCHANGED,
NCU02116.4,NCU02116.5,UNCHANGED,
NCU02117.4,NCU02117.5,UNCHANGED,
NCU02118.4,NCU02118.5,UNCHANGED,
NCU02119.4,NCU02119.5,UNCHANGED,
NCU02120.4,NCU02120.5,UNCHANGED,
NCU02121.4,NCU02121.5,UNCHANGED,
NCU02122.4,NCU02122.5,UNCHANGED,
NCU02123.4,NCU02123.5,UNCHANGED,
NCU02124.4,NCU02124.5,UNCHANGED,
NCU02125.4,NCU02125.5,UNCHANGED,
NCU02126.4,NCU02126.5,UNCHANGED,
NCU02127.4,NCU02127.5,UNCHANGED,
NCU02128.4,NCU02128.5,UNCHANGED,
NCU02129.4,NCU02129.5,UNCHANGED,
NCU02130.4,NCU02130.5,UNCHANGED,
NCU02131.4,NCU02131.5,UNCHANGED,
NCU02132.4,NCU02132.5,UNCHANGED,
NCU02133.4,NCU02133.5,UNCHANGED,
NCU02134.4,NCU02134.5,UNCHANGED,
NCU02136.4,NCU02136.5,UNCHANGED,
NCU02137.4,NCU02137.5,UNCHANGED,
NCU02138.4,NCU02138.5,UNCHANGED,
NCU02139.4,NCU02139.5,UNCHANGED,
NCU02142.4,NCU02142.5,UNCHANGED,
NCU02143.4,NCU02143.5,UNCHANGED,
NCU02144.4,NCU02144.5,UNCHANGED,
NCU02145.4,NCU02145.5,UNCHANGED,
NCU02146.4,NCU02146.5,UNCHANGED,
NCU02147.4,NCU02147.5,UNCHANGED,
NCU02148.4,NCU02148.5,UNCHANGED,
NCU02149.4,NCU02149.5,UNCHANGED,
NCU02150.4,NCU02150.5,UNCHANGED,
NCU02151.4,NCU02151.5,UNCHANGED,
NCU02152.4,NCU02152.5,UNCHANGED,
NCU02153.4,NCU02153.5,UNCHANGED,
NCU02155.4,NCU02155.5,UNCHANGED,
NCU02156.4,NCU02156.5,UNCHANGED,
NCU02157.4,NCU02157.5,UNCHANGED,
NCU02158.4,NCU02158.5,UNCHANGED,
NCU02159.4,NCU02159.5,UNCHANGED,
NCU02160.4,NCU02160.5,UNCHANGED,
NCU02161.4,NCU02161.5,UNCHANGED,
NCU02162.4,NCU02162.5,UNCHANGED,
NCU02163.4,NCU02163.5,UNCHANGED,
NCU02164.4,NCU02164.5,UNCHANGED,
NCU02165.4,NCU02165.5,UNCHANGED,
NCU02167.4,NCU02167.5,UNCHANGED,
NCU02168.4,NCU02168.5,UNCHANGED,
NCU02169.4,NCU02169.5,UNCHANGED,
NCU02170.4,NCU02170.5,UNCHANGED,
NCU02171.4,NCU02171.5,UNCHANGED,
NCU02172.4,NCU02172.5,UNCHANGED,
NCU02173.4,NCU02173.5,UNCHANGED,
NCU02174.4,NCU02174.5,UNCHANGED,
NCU02175.4,NCU02175.5,UNCHANGED,
NCU02176.4,NCU02176.5,UNCHANGED,
NCU02177.4,NCU02177.5,UNCHANGED,
NCU02178.4,NCU02178.5,UNCHANGED,
NCU02179.4,NCU02179.5,UNCHANGED,
NCU02181.4,NCU02181.5,UNCHANGED,
NCU02182.4,NCU02182.5,UNCHANGED,
NCU02183.4,NCU02183.5,UNCHANGED,
NCU02184.4,NCU02184.5,UNCHANGED,
NCU02187.4,NCU02187.5,UNCHANGED,
NCU02188.4,NCU02188.5,UNCHANGED,
NCU02189.4,NCU02189.5,UNCHANGED,
NCU02190.4,NCU02190.5,UNCHANGED,
NCU02191.4,NCU02191.5,UNCHANGED,
NCU02192.4,NCU02192.5,UNCHANGED,
NCU02193.4,NCU02193.5,UNCHANGED,
NCU02194.4,NCU02194.5,UNCHANGED,
NCU02195.4,NCU02195.5,UNCHANGED,
NCU02196.4,NCU02196.5,UNCHANGED,
NCU02197.4,NCU02197.5,UNCHANGED,
NCU02198.4,NCU02198.5,UNCHANGED,
NCU02199.4,NCU02199.5,UNCHANGED,
NCU02201.4,NCU02201.5,UNCHANGED,
NCU02202.4,NCU02202.5,UNCHANGED,
NCU02203.4,NCU02203.5,UNCHANGED,
NCU02204.4,NCU02204.5,UNCHANGED,
NCU02205.4,NCU02205.5,UNCHANGED,
NCU02206.4,NCU02206.5,UNCHANGED,
NCU02207.4,NCU02207.5,UNCHANGED,
NCU02208.4,NCU02208.5,UNCHANGED,
NCU02209.4,NCU02209.5,UNCHANGED,
NCU02211.4,NCU02211.5,UNCHANGED,
NCU02212.4,NCU02212.5,UNCHANGED,
NCU02213.4,NCU02213.5,UNCHANGED,
NCU02214.4,NCU02214.5,UNCHANGED,
NCU02215.4,NCU02215.5,UNCHANGED,
NCU02216.4,NCU02216.5,UNCHANGED,
NCU02217.4,NCU02217.5,UNCHANGED,
NCU02218.4,NCU02218.5,UNCHANGED,
NCU02219.4,NCU02219.5,UNCHANGED,
NCU02220.4,NCU02220.5,UNCHANGED,
NCU02221.4,NCU02221.5,UNCHANGED,
NCU02222.4,NCU02222.5,UNCHANGED,
NCU02223.4,NCU02223.5,UNCHANGED,
NCU02224.4,NCU02224.5,UNCHANGED,
NCU02225.4,NCU02225.5,UNCHANGED,
NCU02226.4,NCU02226.5,UNCHANGED,
NCU02227.4,NCU02227.5,UNCHANGED,
NCU02228.4,NCU02228.5,UNCHANGED,
NCU02229.4,NCU02229.5,UNCHANGED,
NCU02230.4,NCU02230.5,UNCHANGED,
NCU02231.4,NCU02231.5,UNCHANGED,
NCU02232.4,NCU02232.5,UNCHANGED,
NCU02233.4,NCU02233.5,UNCHANGED,
NCU02234.4,NCU02234.5,UNCHANGED,
NCU02235.4,NCU02235.5,UNCHANGED,
NCU02236.4,NCU02236.5,UNCHANGED,
NCU02237.4,NCU02237.5,UNCHANGED,
NCU02238.4,NCU02238.5,UNCHANGED,
NCU02239.4,NCU02239.5,UNCHANGED,
NCU02240.4,NCU02240.5,UNCHANGED,
NCU02241.4,NCU02241.5,UNCHANGED,
NCU02242.4,NCU02242.5,UNCHANGED,
NCU02243.4,NCU02243.5,UNCHANGED,
NCU02244.4,NCU02244.5,UNCHANGED,
NCU02245.4,NCU02245.5,UNCHANGED,
NCU02246.4,NCU02246.5,UNCHANGED,
NCU02247.4,NCU02247.5,UNCHANGED,
NCU02248.4,NCU02248.5,UNCHANGED,
NCU02249.4,NCU02249.5,UNCHANGED,
NCU02250.4,NCU02250.5,UNCHANGED,
NCU02251.4,NCU02251.5,UNCHANGED,
NCU02252.4,NCU02252.5,UNCHANGED,
NCU02254.4,NCU02254.5,UNCHANGED,
NCU02256.4,NCU02256.5,UNCHANGED,
NCU02257.4,NCU02257.5,UNCHANGED,
NCU02260.4,NCU02260.5,UNCHANGED,
NCU02261.4,NCU02261.5,UNCHANGED,
NCU02262.4,NCU02262.5,UNCHANGED,
NCU02263.4,NCU02263.5,UNCHANGED,
NCU02264.4,NCU02264.5,UNCHANGED,
NCU02265.4,NCU02265.5,UNCHANGED,
NCU02267.4,NCU02267.5,UNCHANGED,
NCU02268.4,NCU02268.5,UNCHANGED,
NCU02269.4,NCU02269.5,UNCHANGED,
NCU02270.4,NCU02270.5,UNCHANGED,
NCU02271.4,NCU02271.5,UNCHANGED,
NCU02272.4,NCU02272.5,UNCHANGED,
NCU02273.4,NCU02273.5,UNCHANGED,
NCU02274.4,NCU02274.5,UNCHANGED,
NCU02275.4,NCU02275.5,UNCHANGED,
NCU02276.4,NCU02276.5,UNCHANGED,
NCU02277.4,NCU02277.5,UNCHANGED,
NCU02278.4,NCU02278.5,UNCHANGED,
NCU02280.4,NCU02280.5,UNCHANGED,
NCU02281.4,NCU02281.5,UNCHANGED,
NCU02282.4,NCU02282.5,UNCHANGED,
NCU02283.4,NCU02283.5,UNCHANGED,
NCU02286.4,NCU02286.5,UNCHANGED,
NCU02287.4,NCU02287.5,UNCHANGED,
NCU02289.4,NCU02289.5,UNCHANGED,
NCU02291.4,NCU02291.5,UNCHANGED,
NCU02292.4,NCU02292.5,UNCHANGED,
NCU02293.4,NCU02293.5,UNCHANGED,
NCU02294.4,NCU02294.5,UNCHANGED,
NCU02295.4,NCU02295.5,UNCHANGED,
NCU02296.4,NCU02296.5,UNCHANGED,
NCU02297.4,NCU02297.5,UNCHANGED,
NCU02298.4,NCU02298.5,UNCHANGED,
NCU02299.4,NCU02299.5,UNCHANGED,
NCU02300.4,NCU02300.5,UNCHANGED,
NCU02301.4,NCU02301.5,UNCHANGED,
NCU02302.4,NCU02302.5,UNCHANGED,
NCU02303.4,NCU02303.5,UNCHANGED,
NCU02304.4,NCU02304.5,UNCHANGED,
NCU02305.4,NCU02305.5,UNCHANGED,
NCU02306.4,NCU02306.5,UNCHANGED,
NCU02307.4,NCU02307.5,UNCHANGED,
NCU02308.4,NCU02308.5,UNCHANGED,
NCU02309.4,NCU02309.5,UNCHANGED,
NCU02310.4,NCU02310.5,UNCHANGED,
NCU02311.4,NCU02311.5,UNCHANGED,
NCU02314.4,NCU02314.5,UNCHANGED,
NCU02315.4,NCU02315.5,UNCHANGED,
NCU02316.4,NCU02316.5,UNCHANGED,
NCU02317.4,NCU02317.5,UNCHANGED,
NCU02318.4,NCU02318.5,UNCHANGED,
NCU02319.4,NCU02319.5,UNCHANGED,
NCU02320.4,NCU02320.5,UNCHANGED,
NCU02321.4,NCU02321.5,UNCHANGED,
NCU02322.4,NCU02322.5,UNCHANGED,
NCU02323.4,NCU02323.5,UNCHANGED,
NCU02324.4,NCU02324.5,UNCHANGED,
NCU02325.4,NCU02325.5,UNCHANGED,
NCU02326.4,NCU02326.5,UNCHANGED,
NCU02327.4,NCU02327.5,UNCHANGED,
NCU02328.4,NCU02328.5,UNCHANGED,
NCU02329.4,NCU02329.5,UNCHANGED,
NCU02331.4,NCU02331.5,UNCHANGED,
NCU02333.4,NCU02333.5,UNCHANGED,
NCU02334.4,NCU02334.5,UNCHANGED,
NCU02335.4,NCU02335.5,UNCHANGED,
NCU02336.4,NCU02336.5,UNCHANGED,
NCU02337.4,NCU02337.5,UNCHANGED,
NCU02338.4,NCU02338.5,UNCHANGED,
NCU02339.4,NCU02339.5,UNCHANGED,
NCU02340.4,NCU02340.5,UNCHANGED,
NCU02341.4,NCU02341.5,UNCHANGED,
NCU02342.4,NCU02342.5,UNCHANGED,
NCU02343.4,NCU02343.5,UNCHANGED,
NCU02344.4,NCU02344.5,UNCHANGED,
NCU02345.4,NCU02345.5,UNCHANGED,
NCU02346.4,NCU02346.5,UNCHANGED,
NCU02349.4,NCU02349.5,UNCHANGED,
NCU02350.4,NCU02350.5,UNCHANGED,
NCU02351.4,NCU02351.5,UNCHANGED,
NCU02352.4,NCU02352.5,UNCHANGED,
NCU02353.4,NCU02353.5,UNCHANGED,
NCU02354.4,NCU02354.5,UNCHANGED,
NCU02355.4,NCU02355.5,UNCHANGED,
NCU02356.4,NCU02356.5,UNCHANGED,
NCU02357.4,NCU02357.5,UNCHANGED,
NCU02358.4,NCU02358.5,UNCHANGED,
NCU02359.4,NCU02359.5,UNCHANGED,
NCU02360.4,NCU02360.5,UNCHANGED,
NCU02361.4,NCU02361.5,UNCHANGED,
NCU02362.4,NCU02362.5,UNCHANGED,
NCU02363.4,NCU02363.5,UNCHANGED,
NCU02364.4,NCU02364.5,UNCHANGED,
NCU02365.4,NCU02365.5,UNCHANGED,
NCU02366.4,NCU02366.5,UNCHANGED,
NCU02367.4,NCU02367.5,UNCHANGED,
NCU02368.4,NCU02368.5,UNCHANGED,
NCU02369.4,NCU02369.5,UNCHANGED,
NCU02370.4,NCU02370.5,UNCHANGED,
NCU02371.4,NCU02371.5,UNCHANGED,
NCU02372.4,NCU02372.5,UNCHANGED,
NCU02373.4,NCU02373.5,UNCHANGED,
NCU02374.4,NCU02374.5,UNCHANGED,
NCU02375.4,NCU02375.5,UNCHANGED,
NCU02376.4,NCU02376.5,UNCHANGED,
NCU02377.4,NCU02377.5,UNCHANGED,
NCU02378.4,NCU02378.5,UNCHANGED,
NCU02379.4,NCU02379.5,UNCHANGED,
NCU02380.4,NCU02380.5,UNCHANGED,
NCU02381.4,NCU02381.5,UNCHANGED,
NCU02382.4,NCU02382.5,UNCHANGED,
NCU02383.4,NCU02383.5,UNCHANGED,
NCU02385.4,NCU02385.5,UNCHANGED,
NCU02386.4,NCU02386.5,UNCHANGED,
NCU02387.4,NCU02387.5,UNCHANGED,
NCU02388.4,NCU02388.5,UNCHANGED,
NCU02389.4,NCU02389.5,UNCHANGED,
NCU02390.4,NCU02390.5,UNCHANGED,
NCU02391.4,NCU02391.5,UNCHANGED,
NCU02393.4,NCU02393.5,UNCHANGED,
NCU02394.4,NCU02394.5,UNCHANGED,
NCU02395.4,NCU02395.5,UNCHANGED,
NCU02396.4,NCU02396.5,UNCHANGED,
NCU02397.4,NCU02397.5,UNCHANGED,
NCU02398.4,NCU02398.5,UNCHANGED,
NCU02399.4,NCU02399.5,UNCHANGED,
NCU02400.4,NCU02400.5,UNCHANGED,
NCU02401.4,NCU02401.5,UNCHANGED,
NCU02402.4,NCU02402.5,UNCHANGED,
NCU02403.4,NCU02403.5,UNCHANGED,
NCU02404.4,NCU02404.5,UNCHANGED,
NCU02405.4,NCU02405.5,UNCHANGED,
NCU02406.4,NCU02406.5,UNCHANGED,
NCU02407.4,NCU02407.5,UNCHANGED,
NCU02408.4,NCU02408.5,UNCHANGED,
NCU02409.4,NCU02409.5,UNCHANGED,
NCU02410.4,NCU02410.5,UNCHANGED,
NCU02411.4,NCU02411.5,UNCHANGED,
NCU02412.4,NCU02412.5,UNCHANGED,
NCU02413.4,NCU02413.5,UNCHANGED,
NCU02414.4,NCU02414.5,UNCHANGED,
NCU02415.4,NCU02415.5,UNCHANGED,
NCU02416.4,NCU02416.5,UNCHANGED,
NCU02419.4,NCU02419.5,UNCHANGED,
NCU02420.4,NCU02420.5,UNCHANGED,
NCU02421.4,NCU02421.5,UNCHANGED,
NCU02422.4,NCU02422.5,UNCHANGED,
NCU02423.4,NCU02423.5,UNCHANGED,
NCU02424.4,NCU02424.5,UNCHANGED,
NCU02425.4,NCU02425.5,UNCHANGED,
NCU02428.4,NCU02428.5,UNCHANGED,
NCU02429.4,NCU02429.5,UNCHANGED,
NCU02430.4,NCU02430.5,UNCHANGED,
NCU02431.4,NCU02431.5,UNCHANGED,
NCU02432.4,NCU02432.5,UNCHANGED,
NCU02433.4,NCU02433.5,UNCHANGED,
NCU02434.4,NCU02434.5,UNCHANGED,
NCU02435.4,NCU02435.5,UNCHANGED,
NCU02436.4,NCU02436.5,UNCHANGED,
NCU02437.4,NCU02437.5,UNCHANGED,
NCU02438.4,NCU02438.5,UNCHANGED,
NCU02451.4,NCU02451.5,UNCHANGED,
NCU02455.4,NCU02455.5,UNCHANGED,
NCU02456.4,NCU02456.5,UNCHANGED,
NCU02457.4,NCU02457.5,UNCHANGED,
NCU02458.4,NCU02458.5,UNCHANGED,
NCU02461.4,NCU02461.5,UNCHANGED,
NCU02463.4,NCU02463.5,UNCHANGED,
NCU02464.4,NCU02464.5,UNCHANGED,
NCU02465.4,NCU02465.5,UNCHANGED,
NCU02466.4,NCU02466.5,UNCHANGED,
NCU02467.4,NCU02467.5,UNCHANGED,
NCU02468.4,NCU02468.5,UNCHANGED,
NCU02470.4,NCU02470.5,UNCHANGED,
NCU02472.4,NCU02472.5,UNCHANGED,
NCU02473.4,NCU02473.5,UNCHANGED,
NCU02474.4,NCU02474.5,UNCHANGED,
NCU02475.4,NCU02475.5,UNCHANGED,
NCU02476.4,NCU02476.5,UNCHANGED,
NCU02477.4,NCU02477.5,UNCHANGED,
NCU02478.4,NCU02478.5,UNCHANGED,
NCU02480.4,NCU02480.5,UNCHANGED,
NCU02482.4,NCU02482.5,UNCHANGED,
NCU02483.4,NCU02483.5,UNCHANGED,
NCU02485.4,NCU02485.5,UNCHANGED,
NCU02486.4,NCU02486.5,UNCHANGED,
NCU02487.4,NCU02487.5,UNCHANGED,
NCU02488.4,NCU02488.5,UNCHANGED,
NCU02490.4,NCU02490.5,UNCHANGED,
NCU02491.4,NCU02491.5,UNCHANGED,
NCU02492.4,NCU02492.5,UNCHANGED,
NCU02493.4,NCU02493.5,UNCHANGED,
NCU02494.4,NCU02494.5,UNCHANGED,
NCU02495.4,NCU02495.5,UNCHANGED,
NCU02496.4,NCU02496.5,UNCHANGED,
NCU02497.4,NCU02497.5,UNCHANGED,
NCU02498.4,NCU02498.5,UNCHANGED,
NCU02499.4,NCU02499.5,UNCHANGED,
NCU02500.4,NCU02500.5,UNCHANGED,
NCU02501.4,NCU02501.5,UNCHANGED,
NCU02502.4,NCU02502.5,UNCHANGED,
NCU02503.4,NCU02503.5,UNCHANGED,
NCU02504.4,NCU02504.5,UNCHANGED,
NCU02505.4,NCU02505.5,UNCHANGED,
NCU02507.4,NCU02507.5,UNCHANGED,
NCU02508.4,NCU02508.5,UNCHANGED,
NCU02509.4,NCU02509.5,UNCHANGED,
NCU02510.4,NCU02510.5,UNCHANGED,
NCU02511.4,NCU02511.5,UNCHANGED,
NCU02512.4,NCU02512.5,UNCHANGED,
NCU02513.4,NCU02513.5,UNCHANGED,
NCU02514.4,NCU02514.5,UNCHANGED,
NCU02515.4,NCU02515.5,UNCHANGED,
NCU02516.4,NCU02516.5,UNCHANGED,
NCU02517.4,NCU02517.5,UNCHANGED,
NCU02519.4,NCU02519.5,UNCHANGED,
NCU02520.4,NCU02520.5,UNCHANGED,
NCU02521.4,NCU02521.5,UNCHANGED,
NCU02522.4,NCU02522.5,UNCHANGED,
NCU02523.4,NCU02523.5,UNCHANGED,
NCU02524.4,NCU02524.5,UNCHANGED,
NCU02525.4,NCU02525.5,UNCHANGED,
NCU02526.4,NCU02526.5,UNCHANGED,
NCU02527.4,NCU02527.5,UNCHANGED,
NCU02528.4,NCU02528.5,UNCHANGED,
NCU02529.4,NCU02529.5,UNCHANGED,
NCU02530.4,NCU02530.5,UNCHANGED,
NCU02531.4,NCU02531.5,UNCHANGED,
NCU02532.4,NCU02532.5,UNCHANGED,
NCU02533.4,NCU02533.5,UNCHANGED,
NCU02534.4,NCU02534.5,UNCHANGED,
NCU02535.4,NCU02535.5,UNCHANGED,
NCU02536.4,NCU02536.5,UNCHANGED,
NCU02538.4,NCU02538.5,UNCHANGED,
NCU02539.4,NCU02539.5,UNCHANGED,
NCU02540.4,NCU02540.5,UNCHANGED,
NCU02541.4,NCU02541.5,UNCHANGED,
NCU02542.4,NCU02542.5,UNCHANGED,
NCU02543.4,NCU02543.5,UNCHANGED,
NCU02544.4,NCU02544.5,UNCHANGED,
NCU02545.4,NCU02545.5,UNCHANGED,
NCU02546.4,NCU02546.5,UNCHANGED,
NCU02547.4,NCU02547.5,UNCHANGED,
NCU02548.4,NCU02548.5,UNCHANGED,
NCU02549.4,NCU02549.5,UNCHANGED,
NCU02550.4,NCU02550.5,UNCHANGED,
NCU02552.4,NCU02552.5,UNCHANGED,
NCU02553.4,NCU02553.5,UNCHANGED,
NCU02554.4,NCU02554.5,UNCHANGED,
NCU02555.4,NCU02555.5,UNCHANGED,
NCU02556.4,NCU02556.5,UNCHANGED,
NCU02558.4,NCU02558.5,UNCHANGED,
NCU02559.4,NCU02559.5,UNCHANGED,
NCU02560.4,NCU02560.5,UNCHANGED,
NCU02561.4,NCU02561.5,UNCHANGED,
NCU02562.4,NCU02562.5,UNCHANGED,
NCU02563.4,NCU02563.5,UNCHANGED,
NCU02564.4,NCU02564.5,UNCHANGED,
NCU02565.4,NCU02565.5,UNCHANGED,
NCU02566.4,NCU02566.5,UNCHANGED,
NCU02567.4,NCU02567.5,UNCHANGED,
NCU02568.4,NCU02568.5,UNCHANGED,
NCU02570.4,NCU02570.5,UNCHANGED,
NCU02571.4,NCU02571.5,UNCHANGED,
NCU02572.4,NCU02572.5,UNCHANGED,
NCU02573.4,NCU02573.5,UNCHANGED,
NCU02576.4,NCU02576.5,UNCHANGED,
NCU02577.4,NCU02577.5,UNCHANGED,
NCU02578.4,NCU02578.5,UNCHANGED,
NCU02579.4,NCU02579.5,UNCHANGED,
NCU02580.4,NCU02580.5,UNCHANGED,
NCU02582.4,NCU02582.5,UNCHANGED,
NCU02583.4,NCU02583.5,UNCHANGED,
NCU02584.4,NCU02584.5,UNCHANGED,
NCU02585.4,NCU02585.5,UNCHANGED,
NCU02586.4,NCU02586.5,UNCHANGED,
NCU02587.4,NCU02587.5,UNCHANGED,
NCU02588.4,NCU02588.5,UNCHANGED,
NCU02589.4,NCU02589.5,UNCHANGED,
NCU02590.4,NCU02590.5,UNCHANGED,
NCU02591.4,NCU02591.5,UNCHANGED,
NCU02592.4,NCU02592.5,UNCHANGED,
NCU02593.4,NCU02593.5,UNCHANGED,
NCU02594.4,NCU02594.5,UNCHANGED,
NCU02595.4,NCU02595.5,UNCHANGED,
NCU02596.4,NCU02596.5,UNCHANGED,
NCU02597.4,NCU02597.5,UNCHANGED,
NCU02598.4,NCU02598.5,UNCHANGED,
NCU02599.4,NCU02599.5,UNCHANGED,
NCU02600.4,NCU02600.5,UNCHANGED,
NCU02601.4,NCU02601.5,UNCHANGED,
