#OLD_LOCUS,NEW_LOCUS,UPDATE_TYPE,UPDATE_DETAIL
NCU00152.4,NCU00152.5,UNCHANGED,
NCU00153.4,NCU00153.5,UNCHANGED,
NCU00154.4,NCU00154.5,UNCHANGED,
NCU00155.4,NCU00155.5,UNCHANGED,
NCU00157.4,NCU00157.5,UNCHANGED,
NCU00158.4,NCU00158.5,UNCHANGED,
NCU00159.4,NCU00159.5,UNCHANGED,
NCU00160.4,NCU00160.5,UNCHANGED,
NCU00161.4,NCU00161.5,UNCHANGED,
NCU00162.4,NCU00162.5,UNCHANGED,
NCU00163.4,NCU00163.5,UNCHANGED,
NCU00164.4,NCU00164.5,UNCHANGED,
NCU00166.4,NCU00166.5,UNCHANGED,
NCU00167.4,NCU00167.5,UNCHANGED,
NCU00168.4,NCU00168.5,UNCHANGED,
NCU00169.4,NCU00169.5,UNCHANGED,
NCU00170.4,NCU00170.5,UNCHANGED,
NCU00171.4,NCU00171.5,UNCHANGED,
NCU00172.4,NCU00172.5,UNCHANGED,
NCU00173.4,NCU00173.5,UNCHANGED,
NCU00175.4,NCU00175.5,UNCHANGED,
NCU00176.4,NCU00176.5,UNCHANGED,
NCU00177.4,NCU00177.5,UNCHANGED,
NCU00178.4,NCU00178.5,UNCHANGED,
NCU00179.4,NCU00179.5,UNCHANGED,
NCU00180.4,NCU00180.5,UNCHANGED,
NCU00181.4,NCU00181.5,UNCHANGED,
NCU00182.4,NCU00182.5,UNCHANGED,
NCU00183.4,NCU00183.5,UNCHANGED,
NCU00184.4,NCU00184.5,UNCHANGED,
NCU00185.4,NCU00185.5,UNCHANGED,
NCU00186.4,NCU00186.5,UNCHANGED,
NCU00187.4,NCU00187.5,UNCHANGED,
NCU00188.4,NCU00188.5,UNCHANGED,
NCU00189.4,NCU00189.5,UNCHANGED,
NCU00192.4,NCU00192.5,UNCHANGED,
NCU00193.4,NCU00193.5,UNCHANGED,
NCU00194.4,NCU00194.5,UNCHANGED,
NCU00195.4,NCU00195.5,UNCHANGED,
NCU00196.4,NCU00196.5,UNCHANGED,
NCU00197.4,NCU00197.5,UNCHANGED,
NCU00198.4,NCU00198.5,UNCHANGED,
NCU00199.4,NCU00199.5,UNCHANGED,
NCU00200.4,NCU00200.5,UNCHANGED,
NCU00201.4,NCU00201.5,UNCHANGED,
NCU00202.4,NCU00202.5,UNCHANGED,
NCU00203.4,NCU00203.5,UNCHANGED,
NCU00204.4,NCU00204.5,UNCHANGED,
NCU00205.4,NCU00205.5,UNCHANGED,
NCU00206.4,NCU00206.5,UNCHANGED,
NCU00207.4,NCU00207.5,UNCHANGED,
NCU00208.4,NCU00208.5,UNCHANGED,
NCU00209.4,NCU00209.5,UNCHANGED,
NCU00210.4,NCU00210.5,UNCHANGED,
NCU00211.4,NCU00211.5,UNCHANGED,
NCU00212.4,NCU00212.5,UNCHANGED,
NCU00213.4,NCU00213.5,UNCHANGED,
NCU00214.4,NCU00214.5,UNCHANGED,
NCU00215.4,NCU00215.5,UNCHANGED,
NCU00216.4,NCU00216.5,UNCHANGED,
NCU00218.4,NCU00218.5,UNCHANGED,
NCU00219.4,NCU00219.5,UNCHANGED,
NCU00220.4,NCU00220.5,UNCHANGED,
NCU00223.4,NCU00223.5,UNCHANGED,
NCU00224.4,NCU00224.5,UNCHANGED,
NCU00225.4,NCU00225.5,UNCHANGED,
NCU00226.4,NCU00226.5,UNCHANGED,
NCU00227.4,NCU00227.5,UNCHANGED,
NCU00229.4,NCU00229.5,UNCHANGED,
NCU00230.4,NCU00230.5,UNCHANGED,
NCU00231.4,NCU00231.5,UNCHANGED,
NCU00232.4,NCU00232.5,UNCHANGED,
NCU00233.4,NCU00233.5,UNCHANGED,
NCU00234.4,NCU00234.5,UNCHANGED,
NCU00236.4,NCU00236.5,UNCHANGED,
NCU00237.4,NCU00237.5,UNCHANGED,
NCU00238.4,NCU00238.5,UNCHANGED,
NCU00239.4,NCU00239.5,UNCHANGED,
NCU00240.4,NCU00240.5,UNCHANGED,
NCU00241.4,NCU00241.5,UNCHANGED,
NCU00242.4,NCU00242.5,UNCHANGED,
NCU00243.4,NCU00243.5,UNCHANGED,
NCU00244.4,NCU00244.5,UNCHANGED,
NCU00245.4,NCU00245.5,UNCHANGED,
NCU00246.4,NCU00246.5,UNCHANGED,
NCU00247.4,NCU00247.5,UNCHANGED,
NCU00248.4,NCU00248.5,UNCHANGED,
NCU00249.4,NCU00249.5,UNCHANGED,
NCU00250.4,NCU00250.5,UNCHANGED,
NCU00251.4,NCU00251.5,UNCHANGED,
NCU00252.4,NCU00252.5,UNCHANGED,
NCU00253.4,NCU00253.5,UNCHANGED,
NCU00254.4,NCU00254.5,UNCHANGED,
NCU00255.4,NCU00255.5,UNCHANGED,
NCU00256.4,NCU00256.5,UNCHANGED,
NCU00258.4,NCU00258.5,UNCHANGED,
NCU00261.4,NCU00261.5,UNCHANGED,
NCU00262.4,NCU00262.5,UNCHANGED,
NCU00263.4,NCU00263.5,UNCHANGED,
NCU00264.4,NCU00264.5,UNCHANGED,
NCU00265.4,NCU00265.5,UNCHANGED,
NCU00267.4,NCU00267.5,UNCHANGED,
NCU00268.4,NCU00268.5,UNCHANGED,
NCU00269.4,NCU00269.5,UNCHANGED,
NCU00270.4,NCU00270.5,UNCHANGED,
NCU00271.4,NCU00271.5,UNCHANGED,
NCU00272.4,NCU00272.5,UNCHANGED,
NCU00273.4,NCU00273.5,UNCHANGED,
NCU00274.4,NCU00274.5,UNCHANGED,
NCU00275.4,NCU00275.5,UNCHANGED,
NCU00276.4,NCU00276.5,UNCHANGED,
NCU00277.4,NCU00277.5,UNCHANGED,
NCU00278.4,NCU00278.5,UNCHANGED,
NCU00279.4,NCU00279.5,UNCHANGED,
NCU00280.4,NCU00280.5,UNCHANGED,
NCU00281.4,NCU00281.5,UNCHANGED,
NCU00282.4,NCU00282.5,UNCHANGED,
NCU00283.4,NCU00283.5,UNCHANGED,
NCU00284.4,NCU00284.5,UNCHANGED,
NCU00285.4,NCU00285.5,UNCHANGED,
NCU00288.4,NCU00288.5,UNCHANGED,
NCU00289.4,NCU00289.5,UNCHANGED,
NCU00290.4,NCU00290.5,UNCHANGED,
NCU00291.4,NCU00291.5,UNCHANGED,
NCU00292.4,NCU00292.5,UNCHANGED,
NCU00293.4,NCU00293.5,UNCHANGED,
NCU00294.4,NCU00294.5,UNCHANGED,
NCU00295.4,NCU00295.5,UNCHANGED,
NCU00296.4,NCU00296.5,UNCHANGED,
NCU00297.4,NCU00297.5,UNCHANGED,
NCU00298.4,NCU00298.5,UNCHANGED,
NCU00299.4,NCU00299.5,UNCHANGED,
NCU00300.4,NCU00300.5,UNCHANGED,
NCU00301.4,NCU00301.5,UNCHANGED,
NCU00302.4,NCU00302.5,UNCHANGED,
NCU00303.4,NCU00303.5,UNCHANGED,
NCU00304.4,NCU00304.5,UNCHANGED,
NCU00305.4,NCU00305.5,UNCHANGED,
NCU00306.4,NCU00306.5,UNCHANGED,
NCU00307.4,NCU00307.5,UNCHANGED,
NCU00308.4,NCU00308.5,UNCHANGED,
NCU00309.4,NCU00309.5,UNCHANGED,
NCU00310.4,NCU00310.5,UNCHANGED,
NCU00311.4,NCU00311.5,UNCHANGED,
NCU00312.4,NCU00312.5,UNCHANGED,
NCU00313.4,NCU00313.5,UNCHANGED,
NCU00314.4,NCU00314.5,UNCHANGED,
NCU00315.4,NCU00315.5,UNCHANGED,
NCU00316.4,NCU00316.5,UNCHANGED,
NCU00317.4,NCU00317.5,UNCHANGED,
NCU00318.4,NCU00318.5,UNCHANGED,
NCU00319.4,NCU00319.5,UNCHANGED,
NCU00320.4,NCU00320.5,UNCHANGED,
NCU00321.4,NCU00321.5,UNCHANGED,
NCU00322.4,NCU00322.5,UNCHANGED,
NCU00324.4,NCU00324.5,UNCHANGED,
NCU00325.4,NCU00325.5,UNCHANGED,
NCU00326.4,NCU00326.5,UNCHANGED,
NCU00327.4,NCU00327.5,UNCHANGED,
NCU00329.4,NCU00329.5,UNCHANGED,
NCU00330.4,NCU00330.5,UNCHANGED,
NCU00331.4,NCU00331.5,UNCHANGED,
NCU00332.4,NCU00332.5,UNCHANGED,
NCU00333.4,NCU00333.5,UNCHANGED,
NCU00334.4,NCU00334.5,UNCHANGED,
NCU00335.4,NCU00335.5,UNCHANGED,
NCU00336.4,NCU00336.5,UNCHANGED,
NCU00337.4,NCU00337.5,UNCHANGED,
NCU00338.4,NCU00338.5,UNCHANGED,
NCU00339.4,NCU00339.5,UNCHANGED,
NCU00340.4,NCU00340.5,UNCHANGED,
NCU00343.4,NCU00343.5,UNCHANGED,
NCU00344.4,NCU00344.5,UNCHANGED,
NCU00345.4,NCU00345.5,UNCHANGED,
NCU00346.4,NCU00346.5,UNCHANGED,
NCU00347.4,NCU00347.5,UNCHANGED,
NCU00348.4,NCU00348.5,UNCHANGED,
NCU00349.4,NCU00349.5,UNCHANGED,
NCU00350.4,NCU00350.5,UNCHANGED,
NCU00351.4,NCU00351.5,UNCHANGED,
NCU00352.4,NCU00352.5,UNCHANGED,
NCU00353.4,NCU00353.5,UNCHANGED,
NCU00354.4,NCU00354.5,UNCHANGED,
NCU00355.4,NCU00355.5,UNCHANGED,
NCU00356.4,NCU00356.5,UNCHANGED,
NCU00357.4,NCU00357.5,UNCHANGED,
NCU00358.4,NCU00358.5,UNCHANGED,
NCU00359.4,NCU00359.5,UNCHANGED,
NCU00360.4,NCU00360.5,UNCHANGED,
NCU00361.4,NCU00361.5,UNCHANGED,
NCU00362.4,NCU00362.5,UNCHANGED,
NCU00363.4,NCU00363.5,UNCHANGED,
NCU00364.4,NCU00364.5,UNCHANGED,
NCU00365.4,NCU00365.5,UNCHANGED,
NCU00366.4,NCU00366.5,UNCHANGED,
NCU00367.4,NCU00367.5,UNCHANGED,
NCU00368.4,NCU00368.5,UNCHANGED,
NCU00369.4,NCU00369.5,UNCHANGED,
NCU00370.4,NCU00370.5,UNCHANGED,
NCU00371.4,NCU00371.5,UNCHANGED,
NCU00372.4,NCU00372.5,UNCHANGED,
NCU00373.4,NCU00373.5,UNCHANGED,
NCU00375.4,NCU00375.5,UNCHANGED,
NCU00376.4,NCU00376.5,UNCHANGED,
NCU00377.4,NCU00377.5,UNCHANGED,
NCU00378.4,NCU00378.5,UNCHANGED,
NCU00379.4,NCU00379.5,UNCHANGED,
NCU00380.4,NCU00380.5,UNCHANGED,
NCU00382.4,NCU00382.5,UNCHANGED,
NCU00384.4,NCU00384.5,UNCHANGED,
NCU00385.4,NCU00385.5,UNCHANGED,
NCU00386.4,NCU00386.5,UNCHANGED,
NCU00387.4,NCU00387.5,UNCHANGED,
NCU00388.4,NCU00388.5,UNCHANGED,
NCU00389.4,NCU00389.5,UNCHANGED,
NCU00391.4,NCU00391.5,UNCHANGED,
NCU00392.4,NCU00392.5,UNCHANGED,
NCU00395.4,NCU00395.5,UNCHANGED,
NCU00396.4,NCU00396.5,UNCHANGED,
NCU00397.4,NCU00397.5,UNCHANGED,
NCU00398.4,NCU00398.5,UNCHANGED,
NCU00399.4,NCU00399.5,UNCHANGED,
NCU00400.4,NCU00400.5,UNCHANGED,
NCU00401.4,NCU00401.5,UNCHANGED,
NCU00403.4,NCU00403.5,UNCHANGED,
NCU00404.4,NCU00404.5,UNCHANGED,
NCU00405.4,NCU00405.5,UNCHANGED,
NCU00406.4,NCU00406.5,UNCHANGED,
NCU00407.4,NCU00407.5,UNCHANGED,
NCU00408.4,NCU00408.5,UNCHANGED,
NCU00409.4,NCU00409.5,UNCHANGED,
NCU00410.4,NCU00410.5,UNCHANGED,
NCU00411.4,NCU00411.5,UNCHANGED,
NCU00412.4,NCU00412.5,UNCHANGED,
NCU00413.4,NCU00413.5,UNCHANGED,
NCU00414.4,NCU00414.5,UNCHANGED,
NCU00415.4,NCU00415.5,UNCHANGED,
NCU00416.4,NCU00416.5,UNCHANGED,
NCU00417.4,NCU00417.5,UNCHANGED,
NCU00418.4,NCU00418.5,UNCHANGED,
NCU00419.4,NCU00419.5,UNCHANGED,
NCU00420.4,NCU00420.5,UNCHANGED,
NCU00421.4,NCU00421.5,UNCHANGED,
NCU00422.4,NCU00422.5,UNCHANGED,
NCU00423.4,NCU00423.5,UNCHANGED,
NCU00424.4,NCU00424.5,UNCHANGED,
NCU00425.4,NCU00425.5,UNCHANGED,
NCU00426.4,NCU00426.5,UNCHANGED,
NCU00427.4,NCU00427.5,UNCHANGED,
NCU00428.4,NCU00428.5,UNCHANGED,
NCU00430.4,NCU00430.5,UNCHANGED,
NCU00431.4,NCU00431.5,UNCHANGED,
NCU00432.4,NCU00432.5,UNCHANGED,
NCU00434.4,NCU00434.5,UNCHANGED,
NCU00435.4,NCU00435.5,UNCHANGED,
NCU00436.4,NCU00436.5,UNCHANGED,
NCU00437.4,NCU00437.5,UNCHANGED,
NCU00438.4,NCU00438.5,UNCHANGED,
NCU00439.4,NCU00439.5,UNCHANGED,
NCU00440.4,NCU00440.5,UNCHANGED,
NCU00441.4,NCU00441.5,UNCHANGED,
NCU00442.4,NCU00442.5,UNCHANGED,
NCU00443.4,NCU00443.5,UNCHANGED,
NCU00444.4,NCU00444.5,UNCHANGED,
NCU00445.4,NCU00445.5,UNCHANGED,
NCU00446.4,NCU00446.5,UNCHANGED,
NCU00447.4,NCU00447.5,UNCHANGED,
NCU00448.4,NCU00448.5,UNCHANGED,
NCU00449.4,NCU00449.5,UNCHANGED,
NCU00450.4,NCU00450.5,UNCHANGED,
NCU00451.4,NCU00451.5,UNCHANGED,
NCU00453.4,NCU00453.5,UNCHANGED,
NCU00454.4,NCU00454.5,UNCHANGED,
NCU00455.4,NCU00455.5,UNCHANGED,
NCU00456.4,NCU00456.5,UNCHANGED,
NCU00458.4,NCU00458.5,UNCHANGED,
NCU00459.4,NCU00459.5,UNCHANGED,
NCU00461.4,NCU00461.5,UNCHANGED,
NCU00462.4,NCU00462.5,UNCHANGED,
NCU00463.4,NCU00463.5,UNCHANGED,
NCU00464.4,NCU00464.5,UNCHANGED,
NCU00465.4,NCU00465.5,UNCHANGED,
NCU00466.4,NCU00466.5,UNCHANGED,
NCU00467.4,NCU00467.5,UNCHANGED,
NCU00468.4,NCU00468.5,UNCHANGED,
NCU00469.4,NCU00469.5,UNCHANGED,
NCU00470.4,NCU00470.5,UNCHANGED,
NCU00471.4,NCU00471.5,UNCHANGED,
NCU00472.4,NCU00472.5,UNCHANGED,
NCU00473.4,NCU00473.5,UNCHANGED,
NCU00475.4,NCU00475.5,UNCHANGED,
NCU00476.4,NCU00476.5,UNCHANGED,
NCU00477.4,NCU00477.5,UNCHANGED,
NCU00478.4,NCU00478.5,UNCHANGED,
NCU00480.4,NCU00480.5,UNCHANGED,
NCU00481.4,NCU00481.5,UNCHANGED,
NCU00483.4,NCU00483.5,UNCHANGED,
NCU00484.4,NCU00484.5,UNCHANGED,
NCU00485.4,NCU00485.5,UNCHANGED,
NCU00486.4,NCU00486.5,UNCHANGED,
NCU00487.4,NCU00487.5,UNCHANGED,
NCU00488.4,NCU00488.5,UNCHANGED,
NCU00489.4,NCU00489.5,UNCHANGED,
NCU00490.4,NCU00490.5,UNCHANGED,
NCU00491.4,NCU00491.5,UNCHANGED,
NCU00492.4,NCU00492.5,UNCHANGED,
NCU00493.4,NCU00493.5,UNCHANGED,
NCU00494.4,NCU00494.5,UNCHANGED,
NCU00495.4,NCU00495.5,UNCHANGED,
NCU00496.4,NCU00496.5,UNCHANGED,
NCU00497.4,NCU00497.5,UNCHANGED,
NCU00498.4,NCU00498.5,UNCHANGED,
NCU00500.4,NCU00500.5,UNCHANGED,
NCU00501.4,NCU00501.5,UNCHANGED,
NCU00502.4,NCU00502.5,UNCHANGED,
NCU00503.4,NCU00503.5,UNCHANGED,
NCU00504.4,NCU00504.5,UNCHANGED,
NCU00505.4,NCU00505.5,UNCHANGED,
NCU00506.4,NCU00506.5,UNCHANGED,
NCU00509.4,NCU00509.5,UNCHANGED,
NCU00510.4,NCU00510.5,UNCHANGED,
NCU00512.4,NCU00512.5,UNCHANGED,
NCU00513.4,NCU00513.5,UNCHANGED,
NCU00515.4,NCU00515.5,UNCHANGED,
NCU00516.4,NCU00516.5,UNCHANGED,
NCU00517.4,NCU00517.5,UNCHANGED,
NCU00518.4,NCU00518.5,UNCHANGED,
NCU00519.4,NCU00519.5,UNCHANGED,
NCU00520.4,NCU00520.5,UNCHANGED,
NCU00521.4,NCU00521.5,UNCHANGED,
NCU00522.4,NCU00522.5,UNCHANGED,
NCU00523.4,NCU00523.5,UNCHANGED,
NCU00524.4,NCU00524.5,UNCHANGED,
NCU00525.4,NCU00525.5,UNCHANGED,
NCU00526.4,NCU00526.5,UNCHANGED,
NCU00527.4,NCU00527.5,UNCHANGED,
NCU00528.4,NCU00528.5,UNCHANGED,
NCU00529.4,NCU00529.5,UNCHANGED,
NCU00530.4,NCU00530.5,UNCHANGED,
NCU00531.4,NCU00531.5,UNCHANGED,
NCU00532.4,NCU00532.5,UNCHANGED,
NCU00533.4,NCU00533.5,UNCHANGED,
NCU00534.4,NCU00534.5,UNCHANGED,
NCU00535.4,NCU00535.5,UNCHANGED,
NCU00536.4,NCU00536.5,UNCHANGED,
NCU00537.4,NCU00537.5,UNCHANGED,
NCU00538.4,NCU00538.5,UNCHANGED,
NCU00541.4,NCU00541.5,UNCHANGED,
NCU00542.4,NCU00542.5,UNCHANGED,
NCU00545.4,NCU00545.5,UNCHANGED,
NCU00547.4,NCU00547.5,UNCHANGED,
NCU00548.4,NCU00548.5,UNCHANGED,
NCU00549.4,NCU00549.5,UNCHANGED,
NCU00550.4,NCU00550.5,UNCHANGED,
NCU00551.4,NCU00551.5,UNCHANGED,
NCU00552.4,NCU00552.5,UNCHANGED,
NCU00553.4,NCU00553.5,UNCHANGED,
NCU00554.4,NCU00554.5,UNCHANGED,
NCU00557.4,NCU00557.5,UNCHANGED,
NCU00558.4,NCU00558.5,UNCHANGED,
NCU00559.4,NCU00559.5,UNCHANGED,
NCU00560.4,NCU00560.5,UNCHANGED,
NCU00561.4,NCU00561.5,UNCHANGED,
NCU00562.4,NCU00562.5,UNCHANGED,
NCU00563.4,NCU00563.5,UNCHANGED,
NCU00564.4,NCU00564.5,UNCHANGED,
NCU00565.4,NCU00565.5,UNCHANGED,
NCU00566.4,NCU00566.5,UNCHANGED,
NCU00567.4,NCU00567.5,UNCHANGED,
NCU00568.4,NCU00568.5,UNCHANGED,
NCU00569.4,NCU00569.5,UNCHANGED,
NCU00570.4,NCU00570.5,UNCHANGED,
NCU00571.4,NCU00571.5,UNCHANGED,
NCU00572.4,NCU00572.5,UNCHANGED,
NCU00573.4,NCU00573.5,UNCHANGED,
NCU00574.4,NCU00574.5,UNCHANGED,
NCU00575.4,NCU00575.5,UNCHANGED,
NCU00576.4,NCU00576.5,UNCHANGED,
NCU00577.4,NCU00577.5,UNCHANGED,
NCU00578.4,NCU00578.5,UNCHANGED,
NCU00579.4,NCU00579.5,UNCHANGED,
NCU00580.4,NCU00580.5,UNCHANGED,
NCU00581.4,NCU00581.5,UNCHANGED,
NCU00582.4,NCU00582.5,UNCHANGED,
NCU00583.4,NCU00583.5,UNCHANGED,
NCU00584.4,NCU00584.5,UNCHANGED,
NCU00585.4,NCU00585.5,UNCHANGED,
NCU00586.4,NCU00586.5,UNCHANGED,
NCU00587.4,NCU00587.5,UNCHANGED,
NCU00589.4,NCU00589.5,UNCHANGED,
NCU00590.4,NCU00590.5,UNCHANGED,
NCU00591.4,NCU00591.5,UNCHANGED,
NCU00592.4,NCU00592.5,UNCHANGED,
NCU00593.4,NCU00593.5,UNCHANGED,
NCU00594.4,NCU00594.5,UNCHANGED,
NCU00595.4,NCU00595.5,UNCHANGED,
NCU00596.4,NCU00596.5,UNCHANGED,
NCU00597.4,NCU00597.5,UNCHANGED,
NCU00598.4,NCU00598.5,UNCHANGED,
NCU00599.4,NCU00599.5,UNCHANGED,
NCU00600.4,NCU00600.5,UNCHANGED,
NCU00602.4,NCU00602.5,UNCHANGED,
NCU00603.4,NCU00603.5,UNCHANGED,
NCU00604.4,NCU00604.5,UNCHANGED,
NCU00605.4,NCU00605.5,UNCHANGED,
NCU00606.4,NCU00606.5,UNCHANGED,
NCU00607.4,NCU00607.5,UNCHANGED,
NCU00608.4,NCU00608.5,UNCHANGED,
NCU00609.4,NCU00609.5,UNCHANGED,
NCU00611.4,NCU00611.5,UNCHANGED,
NCU00614.4,NCU00614.5,UNCHANGED,
NCU00617.4,NCU00617.5,UNCHANGED,
NCU00618.4,NCU00618.5,UNCHANGED,
NCU00619.4,NCU00619.5,UNCHANGED,
NCU00620.4,NCU00620.5,UNCHANGED,
NCU00621.4,NCU00621.5,UNCHANGED,
NCU00622.4,NCU00622.5,UNCHANGED,
NCU00623.4,NCU00623.5,UNCHANGED,
NCU00624.4,NCU00624.5,UNCHANGED,
NCU00628.4,NCU00628.5,UNCHANGED,
NCU00629.4,NCU00629.5,UNCHANGED,
NCU00630.4,NCU00630.5,UNCHANGED,
NCU00631.4,NCU00631.5,UNCHANGED,
NCU00632.4,NCU00632.5,UNCHANGED,
NCU00633.4,NCU00633.5,UNCHANGED,
NCU00634.4,NCU00634.5,UNCHANGED,
NCU00635.4,NCU00635.5,UNCHANGED,
NCU00636.4,NCU00636.5,UNCHANGED,
NCU00638.4,NCU00638.5,UNCHANGED,
NCU00640.4,NCU00640.5,UNCHANGED,
